member_id,kind,level,quantity,location,calc_method,section_or_size,span_or_length,design_load,notes
FJ-G-S,floor_joist_group,0,31,Level 0 S bay joists from grid Y=0 to 5; members at 0.4 m centres along X=0..12,timber_bending_shear_deflection,"[47, 300]",5.0,1.1,
FJ-G-N,floor_joist_group,0,31,Level 0 N bay joists from grid Y=5 to 10; members at 0.4 m centres along X=0..12,timber_bending_shear_deflection,"[47, 300]",5.0,1.1,
FJ-1-S,floor_joist_group,1,31,Level 1 S bay joists from grid Y=0 to 5; members at 0.4 m centres along X=0..12,timber_bending_shear_deflection,"[47, 300]",5.0,1.1,
FJ-1-N,floor_joist_group,1,31,Level 1 N bay joists from grid Y=5 to 10; members at 0.4 m centres along X=0..12,timber_bending_shear_deflection,"[47, 300]",5.0,1.1,
FB-Y5-W,beam,1,1,Primary floor beam grid Y=5 X=0..6,timber_bending_shear_deflection,"[140, 540]",6,8.25,
FB-Y5-E,beam,1,1,Primary floor beam grid Y=5 X=6..12,timber_bending_shear_deflection,"[140, 540]",6,8.25,
FB-STAIR-N,beam,1,1,North stair opening trimmer,timber_bending_shear_deflection,"[89, 315]",3,4.4,
FB-STAIR-S,beam,1,1,South stair opening trimmer,timber_bending_shear_deflection,"[89, 315]",3,4.4,
RR-N,roof_rafter_group,2,31,N roof slope rafters eave to ridge @400 mm,timber_bending_shear_deflection,"[47, 300]",5.77,0.72,
RR-S,roof_rafter_group,2,31,S roof slope rafters eave to ridge @400 mm,timber_bending_shear_deflection,"[47, 300]",5.77,0.72,
RB-W,ridge_beam,2,1,Ridge beam X=0..6 Y=5,timber_bending_shear_deflection,"[140, 495]",6,5.4,
RB-E,ridge_beam,2,1,Ridge beam X=6..12 Y=5,timber_bending_shear_deflection,"[140, 495]",6,5.4,
H-SOUTH-LIV,opening_header,0,1,South living glazed opening,timber_bending_shear_deflection,"[140, 315]",3.0,5.46,
H-KIT,opening_header,0,1,Kitchen window header,timber_bending_shear_deflection,"[140, 315]",1.5,4.2,
H-BED1,opening_header,0,1,Bedroom 1 egress window header,timber_bending_shear_deflection,"[140, 315]",1.5,4.2,
H-BED2,opening_header,1,1,Bedroom 2 egress window header,timber_bending_shear_deflection,"[140, 315]",1.5,4.2,
H-BED3,opening_header,1,1,Bedroom 3 egress window header,timber_bending_shear_deflection,"[140, 315]",1.5,4.2,
H-BED4,opening_header,1,1,Bedroom 4 egress window header,timber_bending_shear_deflection,"[140, 315]",1.5,4.2,
H-NORTH-STUDY,opening_header,0,1,Study north window header,timber_bending_shear_deflection,"[89, 240]",1.2,3.2,
H-DOOR-FRONT,opening_header,0,1,Front door header,timber_bending_shear_deflection,"[89, 240]",1.2,3.8,
P-01,post,0,1,"Vertical post at grid (0,5)",post_compression,"[140, 140]",,72,
P-02,post,0,1,"Vertical post at grid (6,5)",post_compression,"[140, 140]",,96,
P-03,post,0,1,"Vertical post at grid (12,5)",post_compression,"[140, 140]",,72,
P-04,post,0,1,"Vertical post at grid (0,0)",post_compression,"[140, 140]",,55,
P-05,post,0,1,"Vertical post at grid (12,0)",post_compression,"[140, 140]",,55,
P-06,post,0,1,"Vertical post at grid (0,10)",post_compression,"[140, 140]",,55,
P-07,post,0,1,"Vertical post at grid (12,10)",post_compression,"[140, 140]",,55,
P-08,post,0,1,"Vertical post at grid (6,10)",post_compression,"[140, 140]",,70,
P-09,post,0,1,"Vertical post at grid (6,0)",post_compression,"[140, 140]",,70,
SW-S,stud_wall_group,0,31,South external stud wall,stud_wall_compression,"[38, 140]",12,210,
SW-N,stud_wall_group,0,31,North external stud wall,stud_wall_compression,"[38, 140]",12,210,
SW-W,stud_wall_group,0,26,West external stud wall,stud_wall_compression,"[38, 140]",10,190,
SW-E,stud_wall_group,0,26,East external stud wall,stud_wall_compression,"[38, 140]",10,190,
IW-Y5,stud_wall_group,0,31,Interior bearing/stair wall grid Y=5,stud_wall_compression,"[38, 140]",12,260,
PF-01,pad_footing,foundation/lateral,1,Reinforced pad under P-01,pad_bearing,"[1.0, 1.0, 0.45]",,88,
PF-02,pad_footing,foundation/lateral,1,Reinforced pad under P-02,pad_bearing,"[1.0, 1.0, 0.45]",,118,
PF-03,pad_footing,foundation/lateral,1,Reinforced pad under P-03,pad_bearing,"[1.0, 1.0, 0.45]",,88,
PF-04,pad_footing,foundation/lateral,1,Reinforced pad under P-04,pad_bearing,"[1.0, 1.0, 0.45]",,70,
PF-05,pad_footing,foundation/lateral,1,Reinforced pad under P-05,pad_bearing,"[1.0, 1.0, 0.45]",,70,
PF-06,pad_footing,foundation/lateral,1,Reinforced pad under P-06,pad_bearing,"[1.0, 1.0, 0.45]",,70,
